992000001   1      -4      99  20 1,08716 2 2 2 2 2 3 1-1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 4 4 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 910 3 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 5 5 3 2 2 2 4 2 1 2 1 2 2 1 1 2-3 8 5 1 1 1-2-1-1-1-1-1-1-1-1-1-1 1 2 1 2 2 7 2-1-1 1 3 2 1 2 3 2 3 3 3 2 2 2 2 2 2 2 2 1 2 2 1-1 3 2 3 3 2 2 2 2 2 1 1 0 1 0 1 0 0 1 0 0 1 1 2 1 3-1 2 3 3 2 6 1 1 1 1 2 3 3 2 3 3 3 1 1 1 3 2 2 3-1 2 3-1 3 3 3 2 3-1 2 5-1 2 3 2 3 2 2-1 2 1 4 1 1 2 1 1 5 5 5 1 1 1 1 1 1 1 1 2 2 2-1 2 2 2-1 2 1 5 1 4    2004      -3 2 2 4 2 4 1 1 1 1 4 4 4 4 2 1 3 4 2 2 4 3 4 3-3-3-3-3-3-3-3-3-3-3 2** 1 1 2 1 2 2 3 1 0 018 5 2 1 2   -3   27   -3    7242 819-3   1  -3      -3  -3-3 4 7 5   20001-4 0 0 0 -1-4 1 1-1 3 5 5 4 5 5 2 3 2 5-110 1 10 2 1 1 3 3 2 3-1 2 2 1 1 1 1 3 1 3 3 3-4-4-4 3 3 3 3-1 1 2-4    2711 1    5,00-4 2 1 200 440
992000002   2      -4      99  20  ,60750 1 1 2 2 3 3 2 2 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 4 4 1 0 0 1 0 0 0 0 0 0 1 0 0 0 2 5 5 4 3 1 1 1 1 1 0 0 0 0 0 1 1 0 0 1 0 110 5 2 2 2 2-1 2 1 2 1 2 2 1 1 2-3 4 8 1 1 1 1 1-1-1-1 1-1-1-1 1 1-1 3 3 2 2-2 1 1-1 1-1 2 2 2 2 2 2 2 3 2 2 2 2 2 1 2 2 1 1 2 1 2 2 2 2 2 2 2 2 3 2 1 1 0 1 1 1 0 1 0 1 0 0 0 2 1 3 2 2 3 3 1 510 1 1 1 3 2 2 2 1 1 3 1 1 3 2 3 2 2-1 3 3 3 3 3 3 2 3 3 7 5 2 2 4 2 2 2 2 2 3 1 5 1 1 1 1 1 5 4 5 5 1 1 1 5 1 1 1 3 3 3-1 3 3 3 3 3 1 5 1 2    2004      -3 2 2 1 1 1 1 2 2 1 3 3 3 4 3 1 2 3 2 2 3 3 4 2-3-3-3-3-3-3-3-3-3-3 2** 1 1 2 1 2 3 2 2 0 020 6 2 1 2   -3  300   -3    3231 5 7-3   1  -3      -3  -3-3 4 8 5   20001-4 0 0 1  1-4 2 1-1-1 5 5 1-1-1 4 3 310101010  1 2 1 1 3 3 2 2 2-1 1 1 1 1 1 5 1 3 3 3-4-4-4 2 2 2 2 1 1 1-4    2611 1     ,00-4 1 1 210 478
992000003   3      -4      99  20 1,52996 2 2 2 2 3 3 2 2 2 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 4-1 0 0 1 1 1 1 1 0 0 0 1 0 0 1 2 8 8 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2-3-3 2 2 5 4 2 2 1 1 1 2 2 1 1 2-3 6 7 2 2 2 1-1-1-1-1-1 1 2 2 2 1 1 3 2 2 2 7 1 8 4 2 4 1 2 2 2 2 3 2 3 2 2 2 2 2 2 2 2 1 2 1 1 3 2 2 3 2 2 2 2 2 2 2 1 1 0 1 1 0 0 1 1 0 0 0 1 1 3 2 3 2 2 1 51010 5 5 2 1 1 1 1 1 1 1 1 3 3 3 2 2-1 3 3 3-1 2 2 3 3 3 3 5 2 3 3 2 1 3 3 3 4 110 5 5 5 5 110 91010 5 1 110 810 1 3 1 2 2 3 3 3 2 3 4 1 1 3      96      -3 2 2 3 1 2 1 1 3 1 3 3 3 3 3 3 2 3 3 1 5 3 3 3-3-3-3-3-3-3-3-3-3-3 1** 2-3 1 3-3 1 2 0 0 118 5 2 8-3   -3   -3   -3      -3-3-3-3   1  -3      -3  -3-3-2-2 5   20001-4 0 1 1 -3-4 2 1 2-1 3 4 5 5 3 2 3 3 7 110 1  1 2 2 3 2 3 2 2 2 2 1 510 5 110 5 3 2 2-4-4-4 3 1-1 4 4 1 1-4    2911 1     ,00-4 1 1  98  98
992000004   4      -4      99  20 1,64272 2 2 2 2 2 3 2 2 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 4-3 0 0 0 1 0 0 1 0 0 0 1 0 0 1 2 7 5 4 3 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 5 5 4 2 4 2 2 4 1 2 1 2 2 2-3 2-3 8 8 1 1 1 1-1-1-1-1 1 1 2 2 1 1 1 2 5 2 2 7 1 8 4 2 4 2 2 2 3 2 3 2 3 2 1 2 2 1 2 2 2 2 1 1 1 4 2 2 2 2 3 2 2 2 2 1 1 1 0 1 1 0 1 0 1 0 0 0 1 1 3 3-1 3 3 1-1 7 7 5 7 2 3 2 2 1 1-1 1 1 2 2 2 2 3 3 2 3 2-1 3-1 2 2 3 6-1 2 3 3 2 2 2 2 3 3 1 5 1 5 5 1 310 8 810-1 1 5 5-1 5 1 4-1-1-1 2 2 2 2 1 3 5 1 2      -1      -1 3 2 2 2 2 1 2 2 1 4 3 3 4 3 3 3 4 2 2 4 4 4 4-3-3-3-3-3-3-3-3-3-3 2** 2-3 2 5-3 0 1 0 0 020 6 2 1 1    2   -1   -3    51621217-3   1  -3      -3  -3-3 3 6 5   20001-4 0 0 0  8-4 2 5-1 2 1 2 2 4 2-1 3 2 2 5 7 9  5 3 1-1 2 3 2 2 2 2 1 5 1 5 110-1 2 2-1-4-4-4 2 2 2 4 3 1 2-4    2811 0   50,00-4 2 1 700 700
992000005   5      -4      99  20 1,52996 1 2 2 2 3 2 1 3 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 4 2 0 0 0 1 0 0 1 0 0 0 1 1 0 0 2 7 8 4 3 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 110 7 2-1 4 4 2 2 1 1 1 1 2 1 1 2-3 4 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 1 110 1 1 5 2-1 4 2 2-1 2 2 2 2 3 2 2 2 1 2 3 2 2 2 2 2 2 2 1 4 4 2 3 2 2 2 2 2 2-1 1 1 1 1 1 0 0 0 1 0 0 0 2 1 1 1 1 2 2 2 5 7 1 610 2 1 2 2 1 1 1 1 1 1 2 1 2 2-1 2-2 2 2-1 2 2 2 3 5 3 2 3 3 2 2 2 2 3 4 1 1 1 5 5 5 1 1 5 5 1 1 1 1 5 5 7 1 3 3 3 3 1 1 2 1 3 1 4 1 1    2006      -3 2 2 3 1 1 1 3 2 1 3 3 3 3 3 2 2 3 2 1 3 3 3 3-3-3-3-3-3-3-3-3-3-3 1** 1 1 2 1 2 2 2 0 2 018 5 2 1 2   -3  350   -3    9333 8 4-3   1  -3      -3  -3-3 611 5   20001-4 0 0 0  6-4 210 1 2 2 3 2 2 5 4 3 2 7 8 510  7 2 1 1 2 3 2 2 2 2 1 5 5 7 1 7 1 2 1 3-4-4-4 2 3 3 2 5 1 1-4    2611 1     ,00-4 2 1 3501000
992000006   6      -4      99  20  ,46566 1 2 3 2 2 4 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 4 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 210 2 3 4 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0 2-3-3 2 2 2 2 2 2 1 2 1 2 1 2-3 1 1 8 8 1 2 1 1 2 2 2 2 1 1 1 1 1 1 1 110 1 1 4 1 4 4 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 1 2 2 2 2 1 4 2 2 2 2 2 3 2 2 2 1-1 1 1 1 1 0 1 0 0 0 0 0 2 1 1 2 2 3 3 1 31010 110 3 4 1 2 1 1 1 1 2 1 3 2 3 2 2 3 2 3 3-1 2 2 3 2 1 2 2 3 3 2 2 3 2 3 3 1 1 1 1 1 2 1 1101010 1 1 110 510 5 2 3 3-1 4 3 3 3 3 1 5 1 1    2005      -3 3 1 2 2 4 1 2 2 1 3 3 3 3 3 2 1 3 1 1 3 2 3 2 1 1 1 1 1-3-3-3-3-3 1** 2-3 2 3-3 2 2 0 2 019 5 2 7-3   -3   -3   -3      -3-3-3 1   1  -3      -3  -3-3 3 6 5   20001-4 0 1 1 -3-4 1 1 1 1 1 1 2 2 4 1 2 2 3101010  1 2 1 1 3-1 2 2 2 2 2 1 110 1 5 1 3 3 3-4-4-4 2 2 2 3 1 1 2-4    3011 1     ,00-4 1 1 160 446
992000007   7      -4      99  20  ,87736 2 1 2 2 3 2 1 4 4 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 4 4 1 0 0 1 1 0 0 1 0 1 1 1 0 1 2-1 8 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 6 1 2 2 2 2 4 2 1 1 1 2 1 1 1 2-3 5 8 1 1 1 1 1 1 1-1 1-1-1-1 1-1 2 110 1 1 7 2-1 4 2 2 2 2 2-1 2 2 2 3 2 2 3 2 2 2 2 2 1 1 2 1 2 2 3 3 2 2 3 2 2-1 1 1 0 0 1 0 0 1 0 1 1 0 1 1 1 3 3 2 3 3 1 110 1 110 2 3 3-1 3 1 2 1 1 1 2 3 2 2 2 3 3-1-1 2-1 2-1 3 110 2-1 3-1-1-1-1-1 4 1 1 1 1 1 1 1 1 5 110 1 1 1 5 1 1 1 4 4-1 4 4 3 4 4 1 2 3 1 2    2012      -3 3 1 2 2 2 1 2 2 2 4 4 4 4 4 3 3 4 3 2 4 4 4 3-3-3-3-3-3-3-3-3-3-3 2** 1 1 2 1 2 2 2 0 2 018 5 2 1 2   -3   40   -3    5122 8 5-3   2   1    7212   812 5 9 5   20001-4 0 0 0  1-4 1 1 2 1 2 2-1 2 1 1 3 3-1 510 5 10 3 2-1-1 3 2 2 3 1 110 1 1 11010 3 3 4-4-4-4 2 2-1 4 7 1 2-4    3011 1     ,00-4 1 1 250 365
992000008   8      -4      99  20  ,40984 2 2 2 2 2 2 2 2-1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 4 0 0 1 1 1 0 1 0 0 1 1 1 0 0-2 8 6 3-1 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 6 8 2 2 2 2-1 2 1 3 1 2 2 1 1 2-3 2 2 1 1 1 1 1 1 1 1 1 1-1-1 1 2-1 110 1 1 1 2-1-1 2 2 2 1 1 3 1 2 2 2 2 3 2 2 1 2 2 2 1 2 2 3 2 1 3 2 2 2 2 2 2 3 1 1 0 0 1 1 0 1 0 0 1 1 0 2 2 1 3 1 3 3-1 8 610 8 3 1 2 1-1 1 1-2 1 1 1 2-1 3 3 3 2 3 3 3-1 2 3 3 3 6 2 4 4 4 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 5 1 1 1 1 5 1 2 1 3 3 3 3 3 2 3 3 3 2 5 1 2    2013      -3 3 1 2 2 2 2 2 2 1 3 3 3 4 4 2 2 4 2 2 4 3 3 2-3-3-3-3-3-3-3-3-3-3 1** 1 1 2 1 2 2 2 0 0 024 6 2 1 1   10  120   -3    7231 6 3-3   1  -3      -3  -3-3 510 5   20001-4 0 1 1  8-4 2 1 1 1 5 5 2 2 3 2 2 2 8 3 9 7  8 2 1 1-1 3 2 1 2 2 1 1 1 1 1 5-1 3 3 3-4-4-4 3 2 3 2 2 2 1-4    2511 1   15,00-4 1 1 600 700
992000009   9      -4      99  20  ,36028 1 1 2 2-1 1 2 2 3 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3-3 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 210 8 4 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 110 7 2-1 4 1 2 4 1 2 1 2 1 1 1 2-3 6 3 1 1 1 1-1-1-1-1 1 1-1-1 1 1 1 110 1 1-2 110-1 2 2-1 2 1 2 1 2 2 3 2 1 1 1 2 2 2 2 1 1 2 1 2 3 3 2 2 2 2 1 2 3 1 2 1 1 1 1 0 1 0 0 0 0 0 2 1 1-1 3 3 3 1 6 9 8 210 1 3 1 2 1 1 3 1 1 3 2 2 3 3-1 3 2 2-1 3 2 2 2 2 3 7 1-1 4 1 2 3 3 3 2 1 1 1 1 4 3 1 5 1 5 4 1 1 1 4 1 3 2 3 3 2-1 2 2 3 3 5 3 2 1 1    2004      -3 3 1 5 1 4 3 2 3 1 4 4 3 4 3 2 3 4 3 2 3 3 4 3-3-3-3-3-3-3-3-3-3-3 2** 1 1 2 1 2 2 2 2 0 021 8 2 1 1    3  600   -3    3115 329-3   2   1    3310   3 5 714 5   20001-4 0 1 0 10-4 1 6 1 1 1 2 4 2-1 2 2 3 8 210 2 10 2-1 2-1 2 2 3 2 1 2 1 1 1 1 3 1 3 2 3-4-4-4 4 3 4 2 4 1 2-4    2911 1   10,00-4 1 1 500 900
992000010  10      -4      99  20  ,47244 2 2 1 2 3 3 2 2 2 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1-3 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 5 6 4 1 1 1 0 1 1 0 1 0 0 0 1 0 0 1 1 0 1 8 6 2 2 4 4 2 4 1 1 1 2 2 1 1 2-3 6 2 1 1 1 1-2 1 1 2 1 1-1 1 1 1 1 2 8 1 1 2 1 8 4 1 4 1 2 2 3 2 3 2 3 2 3 2 2 2 2 2 2 2 2 1 1 3 3 2 2 2 2 3 2 2 2 1 2 1 0 1 1 0 1 0 1 0 0 0 1 1 1 1 1 2 3 1 5 710 1 6 2 4 2-1 1 1-1 1 1 1 2 2 3 2-1 3 3 3 3-1-1 3 3 2 8 4 2 3 3 2 2 3-1-1 3 4 4 1 1 6 6 6 2 6 6 8 4 1 2 6 310 3 2 2 2 3 3 3 3 3 3 1 5 1 2    2004      -3 3 2 2 2 3 3 3 3 1 4 4 4 5 5 3 3 5 3 2 4 3 4 3-3-3-3-3-3-3-3-3-3-3 1** 2-3 1 3-3 1 2 1 1 023 8 2 3-3   -3   -3   -4    5123 5 8-3   2   1    5122   6 6-2-2 5   20001-4 0 0 1  5-4 2 1 1 1 2 4 2 3 5 3 3 3 7 410 3  4 2 1 1-1 3 2 2-1 2 2 1 3 8 3 3 1 3 3 2-4-4-4 2 2 3 2 4 1 1-4    2911 0   50,00-4 1 1  98  98
